address,price,rooms
Address0,115,4
Address1,197,4
Address2,348,3
Address3,423,4
Address4,63,4
Address5,479,3
Address6,124,2
Address7,142,4
Address8,387,3
Address9,153,1
Address10,484,3
Address11,319,3
Address12,280,4
Address13,22,3
Address14,308,5
Address15,163,2
Address16,252,5
Address17,79,2
Address18,139,1
Address19,199,3
Address20,363,4
Address21,494,2
Address22,43,4
Address23,486,4
Address24,379,3
Address25,124,2
Address26,45,2
Address27,467,4
Address28,128,4
Address29,249,1
Address30,261,3
Address31,162,2
Address32,432,2
Address33,88,3
Address34,397,3
Address35,310,4
Address36,444,3
Address37,136,5
Address38,253,1
Address39,24,4
Address40,241,5
Address41,99,3
Address42,306,5
Address43,312,4
Address44,138,5
Address45,203,5
Address46,417,1
Address47,26,5
Address48,27,2
Address49,255,5
Address50,302,5
Address51,191,1
Address52,290,4
Address53,150,4
Address54,430,1
Address55,68,5
Address56,26,4
Address57,140,2
Address58,430,5
Address59,228,3
Address60,408,2
Address61,370,2
Address62,404,5
Address63,482,3
Address64,386,5
Address65,38,3
Address66,246,4
Address67,21,3
Address68,236,2
Address69,120,5
Address70,30,1
Address71,226,5
Address72,150,1
Address73,127,1
Address74,93,5
Address75,145,5
Address76,179,3
Address77,57,2
Address78,441,5
Address79,139,5
Address80,391,1
Address81,441,3
Address82,130,4
Address83,308,5
Address84,319,5
Address85,212,5
Address86,426,2
Address87,158,5
Address88,383,4
Address89,97,1
Address90,460,4
Address91,218,5
Address92,183,5
Address93,436,3
Address94,464,2
Address95,470,4
Address96,287,4
Address97,55,4
Address98,443,5
Address99,121,5
Address100,364,4
Address101,307,4
Address102,395,1
Address103,269,2
Address104,108,4
Address105,443,3
Address106,150,1
Address107,140,1
Address108,194,2
Address109,288,3
Address110,26,4
Address111,469,3
Address112,200,5
Address113,85,5
Address114,317,4
Address115,399,2
Address116,144,3
Address117,56,2
Address118,159,5
Address119,487,3
Address120,345,4
Address121,286,4
Address122,67,4
Address123,499,1
Address124,462,5
Address125,118,3
Address126,56,2
Address127,428,3
Address128,253,3
Address129,222,3
Address130,413,3
Address131,371,5
Address132,208,2
Address133,44,3
Address134,145,1
Address135,461,4
Address136,156,1
Address137,288,3
Address138,233,5
Address139,480,5
Address140,70,5
Address141,88,4
Address142,201,5
Address143,489,2
Address144,195,5
Address145,85,5
Address146,187,3
Address147,275,2
Address148,437,1
Address149,452,4
Address150,143,3
Address151,286,4
Address152,216,4
Address153,447,2
Address154,146,4
Address155,25,5
Address156,294,2
Address157,484,2
Address158,298,3
Address159,134,5
Address160,458,4
Address161,38,2
Address162,284,4
Address163,231,3
Address164,108,3
Address165,293,5
Address166,80,4
Address167,382,5
Address168,385,2
Address169,396,2
Address170,138,2
Address171,307,4
Address172,306,1
Address173,101,3
Address174,259,4
Address175,284,2
Address176,453,5
Address177,407,3
Address178,403,4
Address179,147,4
Address180,231,4
Address181,464,4
Address182,64,3
Address183,26,5
Address184,170,4
Address185,147,3
Address186,202,4
Address187,94,2
Address188,436,4
Address189,138,2
Address190,30,1
Address191,395,5
Address192,182,1
Address193,437,1
Address194,120,5
Address195,242,1
Address196,190,3
Address197,57,5
Address198,414,1
Address199,295,5
Address200,97,5
Address201,422,4
Address202,452,1
Address203,358,1
Address204,387,2
Address205,190,2
Address206,152,4
Address207,449,4
Address208,213,2
Address209,372,1
Address210,127,3
Address211,361,4
Address212,402,1
Address213,322,2
Address214,123,2
Address215,219,1
Address216,122,1
Address217,418,4
Address218,414,1
Address219,80,1
Address220,232,3
Address221,440,4
Address222,474,1
Address223,243,3
Address224,414,4
Address225,251,3
Address226,165,5
Address227,241,4
Address228,430,2
Address229,174,5
Address230,114,2
Address231,49,5
Address232,243,2
Address233,495,3
Address234,441,5
Address235,133,4
Address236,469,4
Address237,197,2
Address238,322,2
Address239,191,3
Address240,120,1
Address241,469,1
Address242,228,1
Address243,470,2
Address244,368,1
Address245,114,3
Address246,203,3
Address247,244,3
Address248,428,5
Address249,362,1
Address250,448,3
Address251,232,3
Address252,422,2
Address253,357,1
Address254,129,2
Address255,286,5
Address256,428,3
Address257,444,5
Address258,310,1
Address259,81,1
Address260,255,4
Address261,189,4
Address262,316,4
Address263,492,4
Address264,81,4
Address265,76,5
Address266,128,3
Address267,78,1
Address268,221,3
Address269,350,3
Address270,285,5
Address271,54,1
Address272,125,3
Address273,23,5
Address274,36,1
Address275,141,4
Address276,63,5
Address277,377,5
Address278,493,5
Address279,493,4
Address280,257,4
Address281,147,1
Address282,223,4
Address283,54,2
Address284,427,1
Address285,229,5
Address286,65,3
Address287,388,2
Address288,367,2
Address289,126,1
Address290,170,3
Address291,219,5
Address292,166,2
Address293,199,4
Address294,185,4
Address295,261,3
Address296,157,3
Address297,384,1
Address298,315,1
Address299,428,3
Address300,318,3
Address301,240,3
Address302,487,4
Address303,33,5
Address304,272,5
Address305,320,2
Address306,92,2
Address307,260,2
Address308,363,5
Address309,113,1
Address310,318,5
Address311,87,5
Address312,344,1
Address313,120,3
Address314,93,1
Address315,115,1
Address316,438,4
Address317,371,3
Address318,214,2
Address319,438,3
Address320,401,5
Address321,360,5
Address322,128,4
Address323,490,2
Address324,378,1
Address325,383,3
Address326,119,4
Address327,133,1
Address328,115,5
Address329,320,1
Address330,270,4
Address331,388,3
Address332,291,1
Address333,45,1
Address334,115,3
Address335,299,3
Address336,115,1
Address337,102,5
Address338,47,5
Address339,418,1
Address340,131,2
Address341,140,1
Address342,68,1
Address343,425,2
Address344,90,5
Address345,64,2
Address346,356,4
Address347,263,1
Address348,127,1
Address349,226,5
Address350,438,2
Address351,489,4
Address352,498,3
Address353,477,5
Address354,474,3
Address355,265,4
Address356,115,3
Address357,419,2
Address358,186,5
Address359,55,4
Address360,378,4
Address361,497,4
Address362,138,1
Address363,61,4
Address364,226,4
Address365,209,2
Address366,345,4
Address367,498,3
Address368,119,4
Address369,377,4
Address370,218,5
Address371,453,1
Address372,183,4
Address373,125,5
Address374,167,1
Address375,352,3
Address376,240,5
Address377,464,5
Address378,74,4
Address379,243,3
Address380,479,2
Address381,334,1
Address382,118,2
Address383,271,4
Address384,277,2
Address385,226,1
Address386,252,1
Address387,100,3
Address388,321,4
Address389,56,1
Address390,294,4
Address391,115,2
Address392,315,5
Address393,300,3
Address394,269,4
Address395,185,5
Address396,76,2
Address397,411,4
Address398,363,3
Address399,385,3
Address400,455,3
Address401,407,3
Address402,223,1
Address403,500,4
Address404,445,4
Address405,103,4
Address406,35,1
Address407,357,3
Address408,365,3
Address409,444,5
Address410,367,5
Address411,467,2
Address412,488,4
Address413,403,4
Address414,262,3
Address415,99,1
Address416,372,4
Address417,428,2
Address418,338,1
Address419,22,4
Address420,316,2
Address421,44,3
Address422,56,1
Address423,408,5
Address424,215,1
