user_id,housing_id,status
380,978,pending
321,899,pending
448,681,pending
387,836,pending
984,297,pending
840,444,pending
954,792,pending
402,780,pending
915,350,pending
300,701,pending
543,597,pending
554,927,pending
381,219,pending
353,718,pending
213,466,pending
280,276,pending
741,330,pending
123,787,pending
360,92,pending
313,52,pending
906,738,pending
350,650,pending
542,818,pending
761,381,pending
262,180,pending
694,888,pending
405,904,pending
481,844,pending
862,493,pending
922,39,pending
754,936,pending
743,986,pending
599,194,pending
625,792,pending
7,173,pending
533,545,pending
410,364,pending
645,737,pending
649,4,pending
408,756,pending
830,508,pending
553,468,pending
884,530,pending
583,803,pending
463,672,pending
654,589,pending
298,733,pending
575,184,pending
795,86,pending
746,870,pending
426,310,pending
702,140,pending
62,122,pending
73,962,pending
339,846,pending
141,993,pending
423,947,pending
175,355,pending
513,85,pending
777,993,pending
771,618,pending
504,613,pending
591,336,pending
331,842,pending
602,509,pending
801,20,pending
784,794,pending
16,908,pending
160,453,pending
472,833,pending
221,969,pending
422,332,pending
215,900,pending
965,429,pending
782,228,pending
621,264,pending
12,541,pending
585,870,pending
596,761,pending
853,513,pending
239,424,pending
146,204,pending
293,907,pending
336,150,pending
320,628,pending
103,3,pending
922,238,pending
144,568,pending
504,805,pending
586,755,pending
903,629,pending
760,909,pending
300,898,pending
775,138,pending
856,462,pending
661,404,pending
521,877,pending
809,715,pending
675,607,pending
893,472,pending
601,455,pending
484,676,pending
248,403,pending
86,770,pending
916,339,pending
701,551,pending
373,779,pending
222,69,pending
998,897,pending
140,215,pending
593,939,pending
527,430,pending
582,290,pending
690,734,pending
774,674,pending
815,810,pending
924,847,pending
616,607,pending
764,351,pending
527,95,pending
136,414,pending
249,528,pending
614,721,pending
937,127,pending
689,241,pending
679,325,pending
883,872,pending
402,419,pending
674,617,pending
390,698,pending
590,12,pending
305,157,pending
823,499,pending
22,16,pending
911,558,pending
283,897,pending
400,814,pending
420,571,pending
818,706,pending
350,507,pending
125,296,pending
486,110,pending
7,802,pending
879,582,pending
343,314,pending
847,204,pending
513,183,pending
855,801,pending
730,949,pending
473,583,pending
764,572,pending
512,527,pending
14,117,pending
18,373,pending
210,899,pending
952,275,pending
289,970,pending
802,167,pending
385,859,pending
196,443,pending
275,28,pending
395,577,pending
220,268,pending
185,654,pending
253,701,pending
